src,trg,prn
já,yo,jo
ty,tú,tu
on,él,el
ona,ella,eja
my (muži),nosotros,nosotros
my (ženy),nosotras,nosotras
vy (muži),vosotros,vosotros
vy (ženy),vosotras,vosotras
oni (muži),ellos,ejos
ony (ženy),ellas,ejas
nula,cero,thero
jedna,uno,uno
dva,dos,dos
tři,tres,tres
čtyři,cuatro,kuatro
pět,cinco,thinko
šest,seis,sejs
sedm,siete,sjete
osm,ocho,ocho
devět,nueve,nuebe
deset,diez,djes
